Year,Women,Men
1918,0,1
1920,0,1
1922,0,2
1923,1,3
1924,1,4
1925,1,4
1926,0,4
1927,0,10
1928,0,8
1929,1,11
1930,0,10
1931,4,12
1932,2,21
1933,5,23
1934,2,23
1935,5,24
1936,7,34
1937,2,37
1938,5,31
1939,8,38
1940,6,44
1941,7,49
1942,5,50
1943,9,41
1944,8,57
1945,7,54
1946,11,65
1947,15,87
1948,16,104
1949,23,130
1950,16,115
1951,12,120
1952,13,123
1953,20,97
1954,13,110
1955,8,81
1956,11,90
1957,13,89
1958,14,79
1959,10,97
1960,14,77
1961,18,103
1962,14,108
1963,16,124
1964,16,111
1965,16,120
1966,17,141
1967,21,146
1968,26,167
1969,25,148
1970,30,178
1971,32,193
1972,31,213
1973,31,211
1974,38,262
1975,40,260
1976,37,289
1977,56,278
1978,65,350
1979,70,321
1980,72,344
1981,66,320
1982,102,363
1983,99,386
1984,99,398
1985,115,428
1986,128,445
1987,123,463
1988,136,476
1989,140,445
1990,130,414
1991,157,413
1992,174,418
1993,169,412
1994,140,407
1995,206,431
1996,216,393
1997,188,366
1998,182,335
1999,220,306
2000,205,337
2001,198,259
2002,187,267
2003,202,290
2004,239,285
2005,288,325
2006,239,283
2007,188,207
2008,238,182
2009,152,156
2010,120,104
2011,135,117
2012,136,118
2013,86,79
2014,63,62
