Year,Women,Men
1949,0,1
1953,0,2
1954,0,1
1956,0,3
1957,0,3
1958,0,2
1959,0,1
1960,1,4
1961,0,7
1962,0,4
1963,0,5
1964,0,1
1965,0,3
1966,0,8
1967,0,5
1968,0,3
1969,0,4
1970,0,14
1971,0,11
1972,0,6
1973,0,8
1974,1,10
1975,0,12
1976,0,7
1977,0,7
1978,2,12
1979,1,13
1980,1,13
1981,1,12
1982,1,19
1983,2,21
1984,2,10
1985,0,20
1986,0,9
1987,0,23
1988,2,23
1989,4,21
1990,6,19
1991,2,19
1992,2,22
1993,7,18
1994,11,28
1995,5,15
1996,9,18
1997,4,20
1998,8,8
1999,12,20
2000,5,16
2001,5,24
2002,12,15
2003,21,18
2004,13,7
2005,27,19
2006,17,10
2007,15,14
2008,17,11
2009,13,15
2010,15,15
2011,20,20
2012,25,21
2013,22,17
2014,15,20
