Year,Women,Men
1946,1,0
1956,0,2
1958,1,0
1959,0,1
1960,0,1
1963,0,5
1964,1,3
1965,0,1
1966,1,2
1967,0,4
1968,1,4
1969,0,3
1970,1,2
1971,0,3
1972,0,1
1973,0,2
1974,0,5
1976,0,3
1977,1,5
1978,0,2
1979,2,1
1980,1,5
1981,1,4
1982,2,6
1983,0,6
1984,2,6
1985,1,8
1986,0,6
1987,7,6
1988,2,8
1989,1,6
1990,5,8
1991,3,14
1992,3,11
1993,6,9
1994,6,15
1995,12,7
1996,12,10
1997,11,15
1998,10,7
1999,10,10
2000,11,16
2001,10,9
2002,14,12
2003,15,14
2004,15,9
2005,15,18
2006,21,13
2007,18,13
2008,26,16
2009,21,12
2010,32,9
2011,25,9
2012,30,9
2013,19,6
2014,18,11
