Year,Women,Men
1946,2,0
1947,1,0
1950,0,3
1951,1,2
1953,2,2
1954,0,1
1955,0,3
1956,1,2
1957,0,2
1959,0,2
1960,1,0
1961,1,0
1962,0,4
1963,2,2
1964,1,1
1965,0,2
1966,3,2
1967,5,5
1968,2,4
1969,5,7
1970,4,5
1971,2,6
1972,5,12
1973,2,8
1974,5,10
1975,6,17
1976,10,25
1977,17,26
1978,19,35
1979,14,15
1980,24,34
1981,19,26
1982,22,36
1983,38,33
1984,41,34
1985,39,43
1986,48,53
1987,62,38
1988,67,49
1989,84,50
1990,84,60
1991,90,49
1992,93,54
1993,123,45
1994,132,49
1995,161,54
1996,162,55
1997,151,58
1998,149,52
1999,184,70
2000,204,64
2001,214,71
2002,292,73
2003,302,78
2004,264,66
2005,235,57
2006,249,58
2007,291,72
2008,272,53
2009,296,53
2010,303,77
2011,333,56
2012,230,57
2013,231,62
2014,177,37
2015,3,0
