Year,Men,Women
0,69,144
1946,0,2
1947,0,1
1950,3,0
1951,2,1
1953,2,2
1954,1,0
1955,3,0
1956,2,1
1957,2,0
1959,2,0
1960,0,1
1961,0,1
1962,4,0
1963,2,2
1964,1,1
1965,2,0
1966,2,3
1967,5,5
1968,4,2
1969,7,5
1970,5,4
1971,6,2
1972,12,5
1973,8,2
1974,10,5
1975,17,6
1976,25,10
1977,26,17
1978,35,19
1979,15,14
1980,34,24
1981,26,19
1982,36,22
1983,33,38
1984,34,41
1985,43,39
1986,53,48
1987,38,62
1988,49,67
1989,50,84
1990,60,84
1991,49,90
1992,54,93
1993,45,123
1994,49,132
1995,54,161
1996,55,162
1997,58,151
1998,52,149
1999,70,184
2000,64,204
2001,71,214
2002,73,292
2003,78,302
2004,66,264
2005,57,235
2006,58,249
2007,72,291
2008,53,272
2009,53,296
2010,77,303
2011,56,333
2012,57,230
2013,62,231
2014,37,177
2015,0,3
