Year,Women,Men
1925,0,1
1934,0,1
1942,0,2
1946,0,1
1947,0,1
1948,0,3
1949,0,1
1950,0,1
1951,0,1
1952,0,1
1953,0,3
1954,0,3
1955,0,2
1956,0,2
1957,0,6
1958,0,2
1959,0,6
1960,0,4
1961,0,5
1962,0,10
1963,0,8
1964,0,9
1965,0,8
1966,0,5
1967,0,7
1968,0,8
1969,0,8
1970,0,16
1971,0,5
1972,1,15
1973,1,8
1974,0,11
1975,0,20
1976,1,13
1977,0,15
1978,1,13
1979,0,21
1980,0,20
1981,0,25
1982,0,14
1983,1,19
1984,0,27
1985,0,26
1986,0,21
1987,0,28
1988,3,27
1989,0,17
1990,0,29
1991,2,28
1992,2,33
1993,2,27
1994,0,32
1995,4,34
1996,2,32
1997,3,35
1998,2,32
1999,4,28
2000,1,33
2001,2,27
2002,1,29
2003,2,29
2004,4,24
2005,2,28
2006,7,29
2007,2,33
2008,9,33
2009,5,31
2010,10,39
2011,9,40
2012,19,45
2013,7,27
2014,8,15
