no,tender_no,Decision Reference,description,vendor,award_date,value,department,group
26,202Q/2013/14 ,SCMB 53/07/14,"ALTERATIONS AND ADDITIONS TO TAFELSIG CLINIC, MITCHELLS PLAIN",Icapa Builders CC,2014/07/28,4210502.25,City Health,Health
6,SCMB 15/07/14,SCMB 15/07/14,REQUEST FOR INCREASE IN CONTRACT SUM AND/OR PERIOD: KHAYELITSHA WETLANDS PARK UPGRADE : PROFESSIONAL SERVICES FOR ENVIRONMENTAL ASSESSMENT PRACTITIONER,Jeffares and Green Consultants,2014/07/07,61720,Community Services,Community Services
80,148S/2010/11,SCMB/89/09/14,Maintenance of public toilets on public open spaces and cemeteries,"Ullulwandle Cleaning and Construction cc, Mkhomazi Investments cc, Lucrative Cleaning and Maintenance cc",2014/09/29,87205,Community Services - Parks,Community Services
123,012G/2014/15,SCMB 07/11/14,Supply and deliver of organic and in-organic fertilizers,"Gramoney Sports Turf  and Landscaping CC, Brainwave Projects 1789 CC, Powerrec (Pty) Ltd
",2014/11/03,5000000,Community Services - Parks,Community Services
127,241S/2013/14,SCMB 12/11/14,"Tree Maintenance on Public Open Spaces, Road Reserves and Cemeteries - Eastern Districts, City Parks","Blou Terreindienste BK, and Need Compost CC t/a Garden & Organics",2014/11/03,8000000,Community Services - Parks,Community Services
219,SCMB 67/12/14,SCMB 67/12/14,"Construction of Spray Parks in Scottsville, Khayelitsha, Nyanga and Ocean View",Ankia Bormans Landscape Architect,2014/12/08,33627.31,"Community Services - Sport , Recreation and Amenities",Community Services
221,SCMB 68/12/14,SCMB 68/12/14,"Construction of Spray Parks in Scottsville, Khayelitsha, Nyanga and Ocean View",Ankia Bormans Landscape Architect,2014/12/08,71490.45,"Community Services - Sport , Recreation and Amenities",Community Services
218,165Q/2012/13,SCMB 67/12/14,"Construction of Spray Parks in Scottsville, Khayelitsha, Nyanga and Ocean View",Err:520,2014/12/08,791230.79,"Community Services - Sport , Recreation and Amenities",Community Services
52,050Q/2012/13,SCMB/38/09/14,"Alterations & Additions to Solomon Mahlangu Hall, Khayelitsha",Izinyoni Trading 54 CC,2014/09/15,1060057.34,"Community Services - Sport , Recreation and Amenities",Community Services
87,310Q/2013/14,SCMB/10/10/14,Construction of new change room facilities to Gugulethu Sportsfield,CSD Development and Transport Enterprises CC,2014/10/06,1114969.9,"Community Services - Sport , Recreation and Amenities",Community Services
8,306G/2013/14,SCMB 27/08/14,"Supply, Delivery and Installation of Athletics Equipment, Greenpoint Athletics Stadium and Sport & Recreation Facilities",Gimtrac (Pty) Ltd,2014/08/11,1200000,"Community Services - Sport , Recreation and Amenities",Community Services
220,165Q/2012/13,SCMB 68/12/14,"Construction of Spray Parks in Scottsville, Khayelitsha, Nyanga and Ocean View",Amandla GCF Construction CC,2014/12/08,1682128.27,"Community Services - Sport , Recreation and Amenities",Community Services
11,327S/2013/14,SCMB 30/08/14,"Weeds, Insects and Fungi Control on Vegetation","Henning & Henning BK t/a Henchem 
JH Louw t/a Swartland ",2014/08/11,20000000,"Community Services - Sport , Recreation and Amenities",Community Services
150,234Q/2013/14,SCMB 49/11/14,Term tender for the provision and maintenance of electrical infrastructure for Community Services Facilities within the City of Cape Town,Bloemhof Electrical CC for North Region; Mr Price t/a Lite-Line Electrical for East Region; Citrine Construction (Pty) Ltd for Central Region; JT Maritz Electrical CC for South Region ,2014/11/17,47200000,"Community Services - Sport , Recreation and Amenities",Community Services
13,SCMB 35/08/14,SCMB 35/08/14,Request for deviation and/or Condonation: Media Capacitation and support,HWB Communication (Pty) Ltd,2014/08/11,400000,Compliance and Auxiliary Services - Compliance and Auxiliary Services,Compliance and Auxiliary Services
208,344C/2011/12,SCMB 55/12/14,"PROVISION OF FREELANCE LANGUAGE SERVICES (INTERPRETING, TRANSLATION & COPY EDITING)","Zitha Magingxa, 
Brenda Barrow,
DG Buchanan,
Diane  Avis De Kork,
Sibalomkholwane Services (Pty) Ltd,
Zolera Cynteria Ngcozana,
DJC Janse Van Vuuren,
Tolika Translate CC,
W Thala,
Lungelwa Rose Mfazwe Majapelo,
SE de Bruin,
IsiXhosa Sethu Translators and Editors,
Bohle Conference and Language Services,
Brainware Project 2298 CC t/a ST Communications,
Mob Media CC,
L Sullivan,
Arina Wilson,
John Ntshibilikwana,
JN Mayekiso Madikiza,
SJ Van Wyk,
Hendrien Rust-Swanepoel,
Daleen Groenewald,
D S Gxilishe,
Barefoot Teacher,
Ute Margarete Lise Houlsby,
 ",2014/12/08,1227912.88,Compliance and Auxiliary Services - Executive Support,Compliance and Auxiliary Services
