Timestamp,province,dayrate
3/27/2015 12:31:57,KwaZulu-Natal,250.5
3/27/2015 12:32:31,Gauteng,50
4/6/2015 19:33:30,Gauteng,180
4/6/2015 19:33:32,Gauteng,167
4/6/2015 19:34:00,Western Cape,200
4/6/2015 19:34:26,Western Cape,160
4/6/2015 19:34:28,Western Cape,200
4/6/2015 19:34:30,Gauteng,200
4/6/2015 19:34:37,Western Cape,200
4/6/2015 19:34:41,Gauteng,200
4/6/2015 19:34:48,Gauteng,80
4/6/2015 19:34:50,Gauteng,150
4/6/2015 19:34:52,Western Cape,3250
4/6/2015 19:34:55,KwaZulu-Natal,160
4/6/2015 19:35:04,Gauteng,230
4/6/2015 19:35:06,Gauteng,280
4/6/2015 19:35:15,Gauteng,3500
4/6/2015 19:35:20,Gauteng,190
4/6/2015 19:35:20,Eastern Cape,150
4/6/2015 19:35:28,Gauteng,320
4/6/2015 19:35:30,Gauteng,195
4/6/2015 19:35:34,Western Cape,130
4/6/2015 19:35:36,Western Cape,200
4/6/2015 19:35:36,Western Cape,200
4/6/2015 19:35:50,Gauteng,150
4/6/2015 19:35:52,KwaZulu-Natal,100
4/6/2015 19:35:57,Gauteng,195
4/6/2015 19:35:59,Gauteng,180
4/6/2015 19:35:59,Gauteng,150
4/6/2015 19:36:01,Gauteng,83
4/6/2015 19:36:03,Western Cape,150
4/6/2015 19:36:03,Eastern Cape,150
4/6/2015 19:36:05,Western Cape,160
4/6/2015 19:36:08,Gauteng,2500
4/6/2015 19:36:16,Western Cape,150
4/6/2015 19:36:17,Gauteng,195
4/6/2015 19:36:21,Gauteng,150
4/6/2015 19:36:29,Gauteng,200
4/6/2015 19:36:31,Gauteng,195
4/6/2015 19:36:35,Western Cape,180
4/6/2015 19:36:39,Mpumalanga,35
4/6/2015 19:36:49,Gauteng,170
4/6/2015 19:36:50,Gauteng,180
4/6/2015 19:37:09,Western Cape,230
4/6/2015 19:37:24,KwaZulu-Natal,100
4/6/2015 19:37:25,Gauteng,200
4/6/2015 19:37:28,Gauteng,200
4/6/2015 19:37:30,Gauteng,150
4/6/2015 19:37:30,KwaZulu-Natal,150
4/6/2015 19:37:38,Gauteng,150
4/6/2015 19:37:39,Western Cape,150
4/6/2015 19:37:40,Eastern Cape,140
4/6/2015 19:37:43,Gauteng,140
4/6/2015 19:37:52,Gauteng,200
4/6/2015 19:37:53,Limpopo,115
4/6/2015 19:37:58,Western Cape,250
4/6/2015 19:38:01,Gauteng,170
4/6/2015 19:38:03,Eastern Cape,2200
4/6/2015 19:38:05,Gauteng,200
4/6/2015 19:38:05,Western Cape,150
4/6/2015 19:38:07,North West,85
4/6/2015 19:38:07,Gauteng,1900
4/6/2015 19:38:11,Gauteng,175
4/6/2015 19:38:17,Western Cape,200
4/6/2015 19:38:18,Gauteng,200
4/6/2015 19:38:18,Eastern Cape,130
4/6/2015 19:38:22,Limpopo,100
4/6/2015 19:38:26,Gauteng,200
4/6/2015 19:38:36,North West,34
4/6/2015 19:38:42,Gauteng,140
4/6/2015 19:38:44,Gauteng,200
4/6/2015 19:38:47,Gauteng,120
4/6/2015 19:38:49,KwaZulu-Natal,160
4/6/2015 19:38:51,Eastern Cape,120
4/6/2015 19:38:51,Western Cape,160
4/6/2015 19:38:52,Limpopo,20
4/6/2015 19:38:53,Western Cape,150
4/6/2015 19:38:54,Western Cape,180
4/6/2015 19:38:54,Northern Cape,2600
4/6/2015 19:38:56,KwaZulu-Natal,175
4/6/2015 19:39:00,Gauteng,120
4/6/2015 19:39:05,Gauteng,150
4/6/2015 19:39:05,Gauteng,191
4/6/2015 19:39:11,Western Cape,130
4/6/2015 19:39:13,Eastern Cape,150
4/6/2015 19:39:16,Western Cape,200
4/6/2015 19:39:18,Gauteng,150
4/6/2015 19:39:23,Western Cape,150
4/6/2015 19:39:23,Gauteng,290
4/6/2015 19:39:25,Gauteng,150
4/6/2015 19:39:28,Western Cape,170
4/6/2015 19:39:29,Gauteng,180
4/6/2015 19:39:32,Gauteng,100
4/6/2015 19:39:33,Gauteng,240
4/6/2015 19:39:33,Gauteng,100
4/6/2015 19:39:35,Gauteng,73.333
4/6/2015 19:39:36,Western Cape,150
4/6/2015 19:39:37,Free State,100
4/6/2015 19:39:43,Gauteng,130
4/6/2015 19:39:45,Gauteng,150
4/6/2015 19:39:54,North West,34
4/6/2015 19:39:54,Gauteng,130
4/6/2015 19:39:55,North West,34
4/6/2015 19:40:02,Gauteng,200
4/6/2015 19:40:02,KwaZulu-Natal,120
4/6/2015 19:40:02,Mpumalanga,100
4/6/2015 19:40:04,Free State,150
4/6/2015 19:40:14,Gauteng,350
4/6/2015 19:40:14,KwaZulu-Natal,150
4/6/2015 19:40:16,Gauteng,168
4/6/2015 19:40:18,Western Cape,250
4/6/2015 19:40:19,Gauteng,500
4/6/2015 19:40:20,Gauteng,275
4/6/2015 19:40:20,KwaZulu-Natal,185
4/6/2015 19:40:20,Gauteng,140
4/6/2015 19:40:21,North West,50
4/6/2015 19:40:22,Gauteng,150
4/6/2015 19:40:22,Gauteng,160
4/6/2015 19:40:27,Western Cape,200
4/6/2015 19:40:27,Gauteng,280
4/6/2015 19:40:27,Free State,100
4/6/2015 19:40:29,Gauteng,200
4/6/2015 19:40:30,Eastern Cape,120
4/6/2015 19:40:30,Gauteng,150
4/6/2015 19:40:33,Gauteng,200
4/6/2015 19:40:33,Gauteng,200
4/6/2015 19:40:33,Gauteng,165
4/6/2015 19:40:35,Eastern Cape,3000
4/6/2015 19:40:36,KwaZulu-Natal,80
4/6/2015 19:40:40,Gauteng,190
4/6/2015 19:40:41,Gauteng,165
4/6/2015 19:40:41,Western Cape,3000
4/6/2015 19:40:45,Northern Cape,115
4/6/2015 19:40:45,Limpopo,250
4/6/2015 19:40:48,Gauteng,160
4/6/2015 19:40:48,Limpopo,1600
4/6/2015 19:40:49,Free State,100
4/6/2015 19:40:49,Limpopo,1000
4/6/2015 19:40:52,Western Cape,370
4/6/2015 19:40:53,Gauteng,165
4/6/2015 19:40:54,Western Cape,200
4/6/2015 19:40:54,KwaZulu-Natal,140
4/6/2015 19:40:55,Gauteng,275
4/6/2015 19:40:58,Western Cape,2900
4/6/2015 19:41:00,Gauteng,100
4/6/2015 19:41:01,Gauteng,100
4/6/2015 19:41:02,Gauteng,280
4/6/2015 19:41:09,Northern Cape,130
4/6/2015 19:41:10,Gauteng,250
4/6/2015 19:41:10,Gauteng,175
4/6/2015 19:41:11,Gauteng,150
4/6/2015 19:41:15,Western Cape,220
4/6/2015 19:41:16,Gauteng,2800
4/6/2015 19:41:17,North West,120
4/6/2015 19:41:18,Eastern Cape,150
4/6/2015 19:41:19,Gauteng,170
4/6/2015 19:41:20,Gauteng,250
4/6/2015 19:41:22,Gauteng,185
4/6/2015 19:41:23,KwaZulu-Natal,150
4/6/2015 19:41:25,Gauteng,150
4/6/2015 19:41:26,Gauteng,275
4/6/2015 19:41:26,Western Cape,220
4/6/2015 19:41:28,Gauteng,150
4/6/2015 19:41:30,Gauteng,150
4/6/2015 19:41:30,Gauteng,150
4/6/2015 19:41:31,KwaZulu-Natal,200
4/6/2015 19:41:35,Western Cape,150
4/6/2015 19:41:36,KwaZulu-Natal,150
4/6/2015 19:41:38,Gauteng,150
4/6/2015 19:41:41,KwaZulu-Natal,70
4/6/2015 19:41:41,Eastern Cape,130
4/6/2015 19:41:43,KwaZulu-Natal,100
4/6/2015 19:41:43,Gauteng,150
4/6/2015 19:41:44,Western Cape,120
4/6/2015 19:41:45,Western Cape,200
4/6/2015 19:41:48,Western Cape,200
4/6/2015 19:41:52,Gauteng,181
4/6/2015 19:41:53,KwaZulu-Natal,130
4/6/2015 19:41:53,Free State,110
4/6/2015 19:41:57,Western Cape,200
4/6/2015 19:42:09,KwaZulu-Natal,150
4/6/2015 19:42:10,Gauteng,220
4/6/2015 19:42:13,KwaZulu-Natal,176
4/6/2015 19:42:14,KwaZulu-Natal,230
4/6/2015 19:42:16,Gauteng,140
4/6/2015 19:42:20,North West,130
4/6/2015 19:42:24,Gauteng,180
4/6/2015 19:42:28,Western Cape,180
4/6/2015 19:42:28,KwaZulu-Natal,140
4/6/2015 19:42:29,Gauteng,150
4/6/2015 19:42:29,Western Cape,170
4/6/2015 19:42:31,Gauteng,105
4/6/2015 19:42:31,Western Cape,170
4/6/2015 19:42:33,KwaZulu-Natal,150
4/6/2015 19:42:34,Gauteng,3500
4/6/2015 19:42:37,Western Cape,200
4/6/2015 19:42:39,Western Cape,180
4/6/2015 19:42:39,Western Cape,230
4/6/2015 19:42:40,Gauteng,125
4/6/2015 19:42:46,Gauteng,170
4/6/2015 19:42:46,Gauteng,230
4/6/2015 19:42:49,Gauteng,92
4/6/2015 19:42:54,Western Cape,150
4/6/2015 19:42:55,Gauteng,170
4/6/2015 19:42:57,Western Cape,433
4/6/2015 19:42:58,Gauteng,180
4/6/2015 19:43:00,Mpumalanga,850
4/6/2015 19:43:00,Gauteng,181
4/6/2015 19:43:01,Gauteng,200
4/6/2015 19:43:01,Gauteng,165
4/6/2015 19:43:02,Gauteng,95
4/6/2015 19:43:03,Western Cape,230
4/6/2015 19:43:04,Gauteng,200
4/6/2015 19:43:05,Gauteng,1500
4/6/2015 19:43:08,Western Cape,150
4/6/2015 19:43:10,Gauteng,150
4/6/2015 19:43:14,Gauteng,150
4/6/2015 19:43:14,Western Cape,200
4/6/2015 19:43:15,Eastern Cape,200
4/6/2015 19:43:17,Western Cape,220
4/6/2015 19:43:18,Gauteng,150
4/6/2015 19:43:21,Western Cape,250
4/6/2015 19:43:21,Western Cape,210
4/6/2015 19:43:23,Gauteng,50
4/6/2015 19:43:24,Western Cape,160
4/6/2015 19:43:23,Gauteng,230
4/6/2015 19:43:32,KwaZulu-Natal,120
4/6/2015 19:43:33,Eastern Cape,70
4/6/2015 19:43:38,Gauteng,220
4/6/2015 19:43:39,KwaZulu-Natal,132
4/6/2015 19:43:40,Western Cape,225
4/6/2015 19:43:43,Gauteng,200
4/6/2015 19:43:44,Gauteng,65
4/6/2015 19:43:45,KwaZulu-Natal,120
4/6/2015 19:43:45,Gauteng,250
4/6/2015 19:43:48,Western Cape,150
4/6/2015 19:43:50,Gauteng,150
4/6/2015 19:43:53,Gauteng,240
4/6/2015 19:43:54,Gauteng,181
4/6/2015 19:43:54,KwaZulu-Natal,112
4/6/2015 19:43:55,KwaZulu-Natal,175
4/6/2015 19:43:56,Gauteng,136.36
4/6/2015 19:43:57,Gauteng,180
4/6/2015 19:44:02,Gauteng,108
4/6/2015 19:44:03,Free State,1000
4/6/2015 19:44:03,Gauteng,150
4/6/2015 19:44:06,Western Cape,200
4/6/2015 19:44:07,Gauteng,50
4/6/2015 19:44:09,Western Cape,160
4/6/2015 19:44:09,Western Cape,120
4/6/2015 19:44:12,KwaZulu-Natal,75
4/6/2015 19:44:12,Gauteng,190
4/6/2015 19:44:10,Western Cape,150
4/6/2015 19:44:13,Western Cape,300
4/6/2015 19:44:15,Western Cape,270
4/6/2015 19:44:16,Eastern Cape,65.1
4/6/2015 19:44:20,Gauteng,165
4/6/2015 19:44:24,Gauteng,240
4/6/2015 19:44:27,Gauteng,200
4/6/2015 19:44:28,Gauteng,150
4/6/2015 19:44:28,Free State,160
4/6/2015 19:44:30,Gauteng,150
4/6/2015 19:44:31,Western Cape,190
4/6/2015 19:44:32,Western Cape,140
4/6/2015 19:44:35,Gauteng,173
4/6/2015 19:44:37,Limpopo,850
4/6/2015 19:44:38,Gauteng,150
4/6/2015 19:44:39,Gauteng,150
4/6/2015 19:44:45,Gauteng,204
4/6/2015 19:44:45,Western Cape,250
4/6/2015 19:44:45,Western Cape,120
4/6/2015 19:44:46,Western Cape,150
4/6/2015 19:44:46,Mpumalanga,162.5
4/6/2015 19:44:52,Western Cape,220
4/6/2015 19:44:52,Limpopo,60
4/6/2015 19:44:53,Gauteng,385
4/6/2015 19:44:58,Gauteng,192
4/6/2015 19:44:59,Gauteng,400
4/6/2015 19:44:59,Eastern Cape,120
4/6/2015 19:45:00,Gauteng,150
4/6/2015 19:45:01,Gauteng,174
4/6/2015 19:45:05,Gauteng,125
4/6/2015 19:45:06,Gauteng,150
4/6/2015 19:45:07,Western Cape,230
4/6/2015 19:45:09,Gauteng,200
4/6/2015 19:45:09,Gauteng,100
4/6/2015 19:45:14,Gauteng,150
4/6/2015 19:45:16,Gauteng,3500
4/6/2015 19:45:18,Gauteng,170
4/6/2015 19:45:18,Western Cape,200
4/6/2015 19:45:19,Gauteng,200
4/6/2015 19:45:20,Eastern Cape,20
4/6/2015 19:45:24,Gauteng,160
4/6/2015 19:45:29,Gauteng,204
4/6/2015 19:45:29,Gauteng,2600
4/6/2015 19:45:30,Western Cape,135
4/6/2015 19:45:34,Western Cape,170
4/6/2015 19:45:34,Western Cape,200
4/6/2015 19:45:34,Mpumalanga,1400
4/6/2015 19:45:35,Gauteng,4500
4/6/2015 19:45:37,Limpopo,140
4/6/2015 19:45:37,Gauteng,175
4/6/2015 19:45:38,Western Cape,140
4/6/2015 19:45:38,Western Cape,200
4/6/2015 19:45:39,Gauteng,200
4/6/2015 19:45:40,Gauteng,160
4/6/2015 19:45:45,Gauteng,120
4/6/2015 19:45:48,Gauteng,150
4/6/2015 19:45:49,Free State,170
4/6/2015 19:45:50,Gauteng,200
