Column,AET,AST,Date,House,ISSID,Name Committee,OST,PMG Name,alt,attendance,chairperson,first_name,party_affiliation,province,surname,title
0,10:20:00,10:05:00,2014-06-24 00:00:00,,A0001,"Portfolio Committee on Agriculture, Forestry and Fisheries",10:00:00,Oluwa,,P,True,Machwene Rosina,ANC,,Semenya,Ms
1,10:20:00,10:00:00,2014-06-24 00:00:00,,A0002,Portfolio Committee on Arts and Culture,10:00:00,Thomas,,P,True,Xoliswa Sandra,ANC,,Tom,Ms
2,11:15:00,11:00:00,2014-06-24 00:00:00,,A0003,Portfolio Committee on Basic Education,11:00:00,Kirsten,,P,True,Nomalungelo,ANC,,Gina,Ms
3,10:20:00,10:02:00,2014-06-24 00:00:00,,A0004,Portfolio Committee on Communications,10:00:00,Monique,,P,True,Joyce Clementine,ANC,,Moloi-Moropa,Ms
4,10:25:00,10:00:00,2014-06-24 00:00:00,,A0005,Portfolio Committee on Co-operative Governance and Traditional Affairs,10:00:00,Dirk,,P,True,Mzameni Richard,ANC,,Mdakane,Mr
5,11:32:00,11:00:00,2014-06-24 00:00:00,,A0006,Portfolio Committee on Economic Development,11:00:00,Amanda,,P,True,Elsie Mmathulare,ANC,,Coleman,Ms
6,11:14:00,10:00:00,2014-06-24 00:00:00,,A0007,Portfolio Committee on Energy,10:00:00,Amanda,,P,True,Fikile Zachariah,ANC,,Majola,Ms
7,10:35:00,10:00:00,2014-06-24 00:00:00,,A0008,Portfolio Committee on Home Affairs,10:00:00,Ismail,,P,True,Buoang Lemias,ANC,,Mashile,Mr
8,11:16:00,11:03:00,2014-06-24 00:00:00,,A0009,Portfolio Committee on Human Settlements,11:00:00,Inga,,P,True,Nocawe Noncedo,ANC,,Mafu,Ms
9,10:25:00,10:00:00,2014-06-24 00:00:00,,A0010,Portfolio Committee on Justice and Correctional Services,10:00:00,Tsanga,,P,True,Mathole Serofo,ANC,,Motshekga,Mr
10,10:50:00,10:00:00,2014-06-24 00:00:00,,A0011,Portfolio Committee on Public Works,10:00:00,Nkululeko,,P,True,Benedict Anthony Duke,ANC,,Martins,Mr
11,10:35:00,10:00:00,2014-06-24 00:00:00,,A0012,Portfolio Committee on Sports and Recreation,10:00:00,Phumlani,,P,True,Beauty Nomvuzo,ANC,,Dlulane,Mr
12,11:14:00,11:00:00,2014-06-24 00:00:00,,A0013,Portfolio Committee on Telecommunications and Postal Services,11:00:00,Sibahle,,P,True,Mmamoloko Tryphosa,ANC,,Kubayi,Ms
13,10:40:00,10:30:00,2014-06-24 00:00:00,,A0014,Portfolio Committee on Trade and Industry,10:30:00,Tolulope,,P,True,Joanmariae Louise,ANC,,Fubbs,Ms
14,10:28:00,10:02:00,2014-06-24 00:00:00,,A0015,Portfolio Committee on Transport,09:30:00,Megan,,P,True,Dikeledi Phillistus,ANC,,Magadzi,Ms
15,10:30:00,10:05:00,2014-06-24 00:00:00,,A0016,Porrfolio Committee on Women in the Presidency,10:00:00,Mzandile,,P,True,Thandi Cecilia,ANC,,Memela,Ms
16,11:05:00,11:00:00,2014-06-24 00:00:00,,A0017,Standing Committee on Auditor-General,11:00:00,Zwai,,P,True,Vincent George,ANC,,Smith,Mr
17,11:15:00,11:05:00,2014-06-24 00:00:00,,A0018,Standing Committee on Public Accounts,11:00:00,Pumlani,,P,True,Nelson Themba,APC,,Godi,Mr
18,13:23:00,13:05:00,2014-06-25 00:00:00,,A0019,Portfolio Committee on Defence and Military Veterans,13:00:00,Pumlani,,P,True,Malusi Stanley,ANC,,Motimele,Mr
19,10:15:00,10:05:00,2014-06-25 00:00:00,,A0020,Portfolio Committee on Environmental Affairs,10:00:00,Monique,,P,True,Jackson Mphikwa,ANC,,Mthembu,Mr
20,11:23:00,11:00:00,2014-06-25 00:00:00,,A0021,Portfolio Committee on Health,11:00:00,Tsanga,,P,True,Mary-ann Lindelwa,ANC,,Dunjwa,Ms
21,10:48:00,10:00:00,2014-06-25 00:00:00,,A0022,Portfolio Committee on Higher Education and Training,10:00:00,Goksen,,P,True,Yvonne Nkwenkwezi,ANC,,Phosa,Ms
22,10:38:00,10:07:00,2014-06-25 00:00:00,,A0023,Portfolio Committee on International Relations and Co-operation,10:00:00,Inga,,P,True,Moses Siphosezwe Amos,ANC,,Masango,Mr
23,11:35:00,11:00:00,2014-06-25 00:00:00,,A0024,Portfolio Committee on Labour,11:00:00,Nkululeko,,P,True,Lumka Elizabeth,ANC,,Yengeni,Ms
24,10:32:00,10:05:00,2014-06-25 00:00:00,,A0025,Portfolio Committee on Mineral Resources,10:00:00,Luvuyo,,P,True,Sahlulele,ANC,,Luzipo,Mr
25,10:22:00,10:05:00,2014-06-25 00:00:00,,A0026,Portfolio Committee on Police,10:00:00,Tolulope,,P,True,Francois,ANC,,Beukman,Mr
26,11:35:00,11:00:00,2014-06-25 00:00:00,,A0027,Portfolio Committee on Public Enterprises,11:00:00,Yunus,,P,True,Dipuo Bertha,ANC,,Letsatsi-Duba,Ms
27,10:29:00,10:00:00,2014-06-25 00:00:00,,A0028,Portfolio Committee on Public Services and Administration,10:00:00,Dirk,,P,True,Bertha Peace,ANC,,Mabe,Ms
28,12:25:00,11:10:00,2014-06-25 00:00:00,,A0029,Portfolio Committee on Rural Development and Land Reform,11:00:00,Sharon,,P,True,Phumuzile Catherine,ANC,,Ngwenya-mabila,Ms
29,10:32:00,10:08:00,2014-06-25 00:00:00,,A0030,Portfolio Committee on Science and Technology,10:00:00,Vukile,,P,True,Monwabisi Bevan,ANC,,Goqwana,Dr
30,11:32:00,11:04:00,2014-06-25 00:00:00,,A0031,Portfolio Committee on Small Business Development,11:00:00,Inga,,P,True,Nozabelo Ruth,ANC,,Bhengu,Ms
31,10:41:00,10:10:00,2014-06-25 00:00:00,,A0032,Portfolio Committee on Social Development,10:00:00,Shingirai,,P,True,Rosemary Nokuzola,ANC,,Capa,Ms
32,11:30:00,11:11:00,2014-06-25 00:00:00,,A0033,Portfolio Committee on Tourism,11:00:00,Ismail,,P,True,Beatrice Thembekile,ANC,,Ngcobo,Ms
33,10:45:00,10:00:00,2014-06-25 00:00:00,,A0034,Portfolio Committee on Water and Sanitation Affairs,10:00:00,Verne,,P,True,Mlungisi,ANC,,Johnson,Mr
34,10:44:00,10:08:00,2014-06-25 00:00:00,,A0035,Standing Committee on Finance,10:00:00,Camila,,P,True,Yunus Ismail,ANC,,Carrim,Mr
35,10:29:00,10:00:00,2014-06-25 00:00:00,,A0036,Standing Committee on Appropriations,10:00:00,Shirley,,P,True,Shipokosa Paulus,ANC,,Mashatile,Mr
36,10:14:00,10:00:00,2014-06-25 00:00:00,NCOP,A0037,Select Committee on Education and Recreation,10:00:00,Zwai,,P,True,Lungelwa Lynette,ANC,KwaZulu Natal,Zwane,Ms
37,10:40:00,10:30:00,2014-06-25 00:00:00,NCOP,A0038,Select Committee on Social Services,10:30:00,Zwai,,P,True,Landulile Cathrene,ANC,Mpumalanga,Dlamini,Mrs
38,10:16:00,10:00:00,2014-06-25 00:00:00,NCOP,A0039,Select Committee on Economic Development,10:00:00,Megan,,P,True,Litho,ANC,Eastern Cape,Suka,Mr
39,10:34:00,10:17:00,2014-06-25 00:00:00,NCOP,A0040,Select Committee on Trade and International Relations,10:30:00,Megan,,,True,Edwin Ronald,ANC,Gauteng,Makue,Mr
40,10:06:00,10:00:00,2014-06-25 00:00:00,NCOP,A0041,Select Committee on Finance,10:00:00,Amanda,,P,True,Charel Jacobus,ANC,Northern Cape,De Beer,Mr
41,10:20:00,10:10:00,2014-06-25 00:00:00,NCOP,A0042,Select Committee on Appropriations,10:30:00,Amanda,,P,True,Seiso Joel,ANC,Free State,Mohai,Mr
42,10:08:00,10:00:00,2014-06-25 00:00:00,NCOP,A0043,Select Committee on Security and Justice,10:00:00,Pumlani,,P,True,Dumisani Livingstone,ANC,Western Cape,Ximbi,Mr
43,10:25:00,10:00:00,2014-06-25 00:00:00,NCOP,A0044,Select Committee on Co-operative Governance and Traditional Affairs,10:10:00,Phumlani,,P,True,Mohapi Jihad,ANC,Free State,Mohapi,Mr
44,11:11:00,11:05:00,2014-06-25 00:00:00,NCOP,A0045,Select Committee on Land and Mineral Resources,10:00:00,Sibahle,,P,True,Olifile,ANC,North West,Sefako,Mr
45,11:18:00,11:13:00,2014-06-25 00:00:00,NCOP,A0046,Select Committee on Communications and Public Enterprises,10:30:00,Sibahle,,,True,Ellen,ANC,Western Cape,Prins,Ms
46,12:30:00,08:40:00,2014-07-01 00:00:00,,C0001,Portfolio Committee on Arts and Culture,08:30:00,Dirk,,P,True,Xoliswa Sandra,ANC,,Tom,Ms
47,17:40:00,12:30:00,2014-07-01 00:00:00,,C0002,Portfolio Committee on Arts and Culture,12:30:00,Zizipho,,P,True,Xoliswa Sandra,ANC,,Tom,Ms
48,13:40:00,09:08:00,2014-07-01 00:00:00,,C0003,"Portfolio Committee on Agriculture, Forestry and Fisheries",09:00:00,Camila,,P,True,Machwene Rosina,ANC,,Semenya,Ms
49,13:30:00,09:40:00,2014-07-01 00:00:00,,C0004,Portfolio Committee on Home Affairs,09:30:00,Olusula,,P,True,Buoang Lemias,ANC,,Mashile,Mr
50,20:00:00,10:34:00,2014-07-01 00:00:00,,C0005,Portfolio Committee on Environmental Affairs,09:30:00,Monique,,P,True,Jackson Mphikwa,ANC,,Mthembu,Mr
51,14:45:00,09:04:00,2014-07-01 00:00:00,,C0006,Portfolio Committee on Basic Education,09:00:00,Megan,,P,True,Nomalungelo,ANC,,Gina,Ms
52,16:39:00,10:15:00,2014-07-01 00:00:00,,C0007,Portfolio Committee on Sports and Recreation,09:30:00,Phumlani,,P,True,Beauty Nomvuzo,ANC,,Dlulane,Mr
53,12:34:00,09:13:00,2014-07-01 00:00:00,,C0008,Portfolio Committee on Communications,09:00:00,Nasreen,,P,True,Joyce Clementine,ANC,,Moloi-Moropa,Ms
