"Name","Services","Category","Funded/Supported by","Availability of service","Suburb","City","Province","Where are they?","Crisis/Counselling Line","Contact","Telephone","Web contact"
"Safehaven Community Organisation Resource Centre","Shelter for abused women and children","Violence/ abuse/ rape","CESVI Cooperation and Development (Italy)","N/A","Mowbray","Cape Town","Western Cape","Unit 7, Campground Centre, Durban Road. Mowbray, Cape Town, Western Cape.","N/A","Not specified","0216899408.","Contact to: sdi@courc.co.za	Website: http://www.courc.co.za/safehaven.html"
"Safehaven Community Organisation Resource Centre","Shelter for abused women and children","Children / teenager","CESVI Cooperation and Development (Italy)","N/A","Mowbray","Cape Town","Western Cape","Unit 7, Campground Centre, Durban Road. Mowbray, Cape Town, Western Cape.","N/A","Not specified","0216899408.","Contact to: sdi@courc.co.za  Website: http://www.courc.co.za/safehaven.html"
"Adcock Ingram Depression and Anxiety Helpline","Counselling support service","Depression / Psychology assistance","N/A","N/A","N/A","N/A","N/A","N/A","0800708090","Not specified","Not specified","Not specified"
"ADHD Helpline","Counselling support service","Depression / Psychology assistance","N/A","N/A","N/A","N/A","N/A","N/A","0800554433","Not specified","Not specified","Not specified"
"Akeso Alberton","Specialised Psychiatric Clinic","Depression / Psychology assistance","N/A","N/A","New Redruth","Alberton","Gauteng","15 Clinton Road. New Redruth, Alberton, Gauteng.","0744678886","Not specified","0119072811/ 0744678886.","Contact to: info@akeso.co.za  Website: http://www.akeso.co.za"
"Akeso Crescent Clinic","Specialised Psychiatric Clinic","Depression / Psychology assistance","N/A","N/A","Boskruin","Randburg","Gauteng","Corner of President Fouché Drive and Hawken Avenue. Boskruin, Randburg, Gauteng.","N/A","Not specified","0117929400.","Contact to: info@akeso.co.za	Website: http://www.akeso.co.za"
"Akeso Head Office","Specialised Psychiatric Clinic","Depression / Psychology assistance","N/A","N/A","N/A","N/A","N/A","N/A","0861 HELP US (4357 87)","Not specified","0114470268.","Contact to: info@akeso.co.za  Website: http://www.akeso.co.za"
"Akeso Kenilworth","Specialised Psychiatric Clinic","Depression / Psychology assistance","N/A","N/A","Kenilworth","Cape Town","Western Cape","32 Kenilworth Road. Kenilworth, Cape Town, Western Cape.","N/A","Not specified","0217634500.","Contact to: info@akeso.co.za  Website: http://www.akeso.co.za"
"Akeso Kenilworth Adolescents","Specialised Psychiatric Clinic","Depression / Psychology assistance","N/A","N/A","Claremont","Cape Town","Western Cape","16A Heather Street. Claremont, Cape Town, Western Cape.","N/A","Not specified","0216719626.","Contact to: info@akeso.co.za  Website: http://www.akeso.co.za"
"Akeso Parktown","Specialised Psychiatric Clinic","Depression / Psychology assistance","N/A","N/A","Parktown","Johannesburg","Gauteng","6 Junction Avenue. Parktown, Johannesburg, Gauteng.","N/A","Not specified","0115909500.","Contact to: info@akeso.co.za	Website: http://www.akeso.co.za"
"Akeso Pietermaritzburg","Specialised Psychiatric Clinic","Depression / Psychology assistance","N/A","N/A","Scottsville","Pietermaritzburg","Kwazulu Natal","216 Woodhouse Road. Scottsville, Pietermaritzburg, Kwazulu Natal.","0794969829","Not specified","0333460065.","Contact to: info@akeso.co.za  Website: http://www.akeso.co.za"
"Akeso Psychiatric Response Unit 24 Hour","Counselling support service","Depression / Psychology assistance","N/A","24 hours","N/A","N/A","N/A","Corner or Main and van Imhoff Way. ","0861435787","Not specified","Not specified","Not specified"
"Akeso Stepping Stones","Specialised Psychiatric Clinic","Depression / Psychology assistance","N/A","N/A","Kommetjie","Cape Town","Western Cape"," Kommetjie, Cape Town, Western Cape.","N/A","Not specified","0217834230/ 08000337398 (Toll Free).","Contact to: info@akeso.co.za  Website: http://www.akeso.co.za"
"Al-Anon","Support for family and friends of alcoholics","Drugs and alcohol","N/A","N/A","N/A","N/A","N/A",""""St Francis AACA"", St Francis Methodist Church, Cnr Durris and Talton Roads."","0861 ALANON (25 26 66)","Not specified","0215954508.","Contact to: help@alanon.org.za  Website: www.alanon.org.za"
"Al-Anon Adult Children Anon (AACA) Gauteng Group: Jhb","Group meetings for families of alcoholics","Drugs and alcohol","N/A","N/A","Forest Town","Johannesburg","Gauteng",""""Moot"", GereformeeRoade Church Hall, 485 17th Avenue. Forest Town, Johannesburg, Gauteng."","N/A","*Group Meeting time: Mon 18h30 / Thu 18h45	   ","0116838002.","Not specified"
"Al-Anon Adult Children Anon (AACA) Gauteng Group: Pta","Group meetings for families of alcoholics","Drugs and alcohol","N/A","N/A","Rietfontein","Pretoria","Gauteng","Presbyterian Church, Frere Road. Rietfontein, Pretoria, Gauteng.","N/A","*Group Meeting time:  1st & 3rd Tue 18h15","0116838002.","Not specified"
"Al-Anon Adult Children Anon (AACA) KZN Group: Durban","Group meetings for families of alcoholics","Drugs and alcohol","N/A","N/A","Glenwwod","Durban","Kwazulu Natal","Deccan Road Primary. Glenwwod, Durban, Kwazulu Natal.","N/A","*Group Meeting time: Thur 19h30","0313041826.","Not specified"
"Al-Anon Adult Children Anon (AACA) KZN Group: PMB","Group meetings for families of alcoholics","Drugs and alcohol","N/A","N/A","N/A","Pietermaritzburg","Kwazulu Natal","St Michaels Church, Rouwkoop Road. Pietermaritzburg, Kwazulu Natal.","N/A","*Group Meeting time: Fri 19h30","0313041826.","Not specified"
"Al-Anon Adult Children Anon (AACA) Western Cape Group","Group meetings for families of alcoholics","Drugs and alcohol","N/A","N/A","Rondebosch","Cape Town","Western Cape"," Rondebosch, Cape Town, Western Cape.","N/A","*Group Meeting time: Wed 20h00","0215954517.","Not specified"
"Alcoholics Anonymous SA","Alcoholic support","Drugs and alcohol","N/A","N/A","N/A","N/A","N/A","153 Daan de Wet Nel Drive. ","0861 HELPAA (435 722)","Not specified","Not specified","Not specified"
"Amadea Safe House","Safe haven for abused and disabled children","Children / teenager","N/A","N/A","Akasia","Pretoria","Gauteng"," Akasia, Pretoria, Gauteng.","N/A","Rina Malan","0829559830.","Website:amadeasafehouse.co.za#sthash.vMgTifBa.dpuf"
"Amcare","Shelter for abused women and children","Violence/ abuse/ rape","Gauteng Department of Social Development","N/A","N/A","Alberton","Gauteng"," Alberton, Gauteng.","N/A","Marihet Infantino ","0118695856/ 0795008011.","Contact to: marihet@amcare.org.za"
"ARE Ageng","Shelter for abused women and children","Violence/ abuse/ rape","Gauteng Department of Social Development","N/A","N/A","Bekkersdal","Gauteng","Rosary Street, (behind Paarl East Hospital). Bekkersdal, Gauteng.","0719309734","Nomawethu Kunene","0116921940/1945/ 0727006988 / 0727090008.","Contact to: kunenenoma@telkomsa.net"
"Athlone House of Strength","Shelter for abused women and children","Violence/ abuse/ rape","Department of Social Development (Western Cape Government)","N/A","Charleston Hill","Paarl","Western Cape"," Charleston Hill, Paarl, Western Cape.","N/A","Melissa Koopman (Shelter Manager)","0218629983.","Contact to: ahos@softweb.co.za  Website: http://www.childrenofpaarl.com"
"Beautiful Gate","Shelter for abused women and children","Violence/ abuse/ rape","N/A","N/A","Phillipi","Cape Town","Western Cape","85 Tudhope Ave. Phillipi, Cape Town, Western Cape.","N/A","Not specified","0213702500.","Not specified"
"Bella Maria","Shelter for abused women and children","Violence/ abuse/ rape","Gauteng Department of Social Development","24 hours","N/A","Vanderbijlpark","Gauteng"," Vanderbijlpark, Gauteng.","0164281640  (24 hours)","Colleen Rogers","0164281740/ 0824012296 / 0833667703.","Contact to: colleen@lifelinevaal.co.za"
"Berea Mercy Shelter","Shelter for abused women","Violence/ abuse/ rape","Soul Food","N/A","Berea","Johannesburg","Gauteng","Corner Millbourn Road and Viljoen Stree. Berea, Johannesburg, Gauteng.","N/A","Not specified","Not specified","Not specified"
"Beth Shan","Shelter for abused women and children","Violence/ abuse/ rape","Gauteng Department of Social Development","N/A","Pretoria West","Pretoria","Gauteng"," Pretoria West, Pretoria, Gauteng.","N/A","Captain Nerine Adams","0123796671/ 0766837821.","Contact to: tsabethshan@telkomsa.net"
"Bethany Home","Shelter for abused women and their children - sister shelter to Frida Hartley Shelter","Violence/ abuse/ rape","Private sector / Soul Food","N/A","Bertrams","Johannesburg","Gauteng","36 Terrace Road. Bertrams, Johannesburg, Gauteng.","N/A","Not specified","Not specified","Not specified"
"Bethesda Centre","Shelter for abused women and children","Violence/ abuse/ rape","Gauteng Department of Social Development","N/A","N/A","Benoni","Gauteng","8th Ave. Benoni, Gauteng.","N/A","Yvonne Perumal ","0118452224/ 0832253520.","Contact to: yvonneperumal@gmail.com"
"Bienvenu Shelter for women and children refugees","Shelter for abused women and children","Violence/ abuse/ rape","Soul Food","N/A","Bertrams","Johannesburg","Gauteng"," Bertrams, Johannesburg, Gauteng.","N/A","Not specified","0116242915.","Contact to: bienvenu@telkomsa.net / bienvenushelter@gmail.com  Website:"
"Bombani Shelter for Abused Women in Alexandra","Shelter for abused women","Violence/ abuse/ rape","N/A","N/A","Rivonia","Sandton","Gauteng"," Rivonia, Sandton, Gauteng.","N/A","Not specified","0118816021.","Not specified"
"BPW Outeniqua Refuge for Battered Women and their Children (Phambili Refuge)","Shelter for abused women and children","Violence/ abuse/ rape","Department of Social Development (Western Cape Government)","N/A","N/A","George","Western Cape","Saratoga Avenue. George, Western Cape.","N/A","Not specified","0448751551.","Contact to: phambilirefuge@etimemail.co.za"
"Carehaven Centre","Shelter for abused women and children","Violence/ abuse/ rape","Department of Social Development (Western Cape Government)","N/A","Athlone","Cape Town","Western Cape"," Athlone, Cape Town, Western Cape.","N/A","Not specified","0216385511.","Contact to: careaids@iafrica.com  Website: http://www.salvationarmy.co.za"
"Cathedral of Christ the King Soup Kitchen","Overnight shelter / soup kitchen","Food","Soul Food","N/A","Joubert Park","Johannesburg","Gauteng"," Joubert Park, Johannesburg, Gauteng.","N/A","Not specified","Not specified","Not specified"
"Child Protection Unit","SA Police Service's Family Violence, Child Protection and Sexual Offences Unit","Violence/ abuse/ rape","N/A","N/A","N/A","N/A","N/A","N/A","10111 / 08600 10111","Not specified","Not specified","Contact to: childprotect@saps.org.za"
"Christian Action for Dependence Bethlehem Free State","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","N/A","Bethlehem","Free State"," Bethlehem, Free State.","N/A","Lappies Labuschagne (Chairman)","0583030307/ 0795224088.","Contact to: klmedcount@gmail.com  Website: http://www.cad.org.za/index.php/freestate"
"Christian Action for Dependence Bloemfontein Free State","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","N/A","Bloemfontein","Free State"," Bloemfontein, Free State.","N/A","Theo Orton (Chairman)","0824962873.","Contact to: theo@pastewpave.co.za  Website: http://www.cad.org.za/index.php/freestate"
"Christian Action for Dependence Bothaville Free State","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","N/A","Bothaville","Free State","NG Church Brits Church Hall, c/o Church- & Reitz Street. Bothaville, Free State.","N/A","Annesia Snyman (Chairman)","0565153990/ 0825396880.","Contact to: bothavillenoord@mtnloaded.co.za  Website: http://www.cad.org.za/index.php/freestate"
"Christian Action for Dependence Brandfort Free State","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","N/A","Brandfort","Free State"," Brandfort, Free State.","N/A","Casper Van Der Merwe","0734443709.","Contact to: casmara7@gmail.com  Website: http://www.cad.org.za/index.php/freestate"
"Christian Action for Dependence Brits","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","N/A","Brits","North West","NG Kerk Ellisras-Wes in the 24/7 Youth Hall. Brits, North West.","N/A","Gert Smit / Jan Byleveldt (Chairman) *Group Meeting Time: Tue 19h00","0795467671 / 0824137894.","Contact to: mvmmin@gmail.com  Website: http://www.cad.org.za/index.php/northern-tvl"
"Christian Action for Dependence Bultfontein Free State","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","N/A","Bultfontein","Free State"," Bultfontein, Free State.","N/A","Peet Joubert (Chairman) *Group Meeting Time: Tue 19h00","0825248434.","Contact to: groblernico67@gmail.com  Website: http://www.cad.org.za/index.php/freestate"
"Christian Action for Dependence Crossroads: Ellisras/Lephalale","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","N/A","Lephahale","Limpopo"," Lephahale, Limpopo.","N/A","Hendrik van Reenen (Chairman) *Group Meeting Time: Mon  19h00","0721972910.","Contact to: pt.joubert@gmail.com  Website: http://www.cad.org.za/index.php/northern-tvl"
"Christian Action for Dependence Eastern Transvaal","Resources addressing the challenges of substance abuse","Drugs and alcohol","N/A","N/A","N/A","N/A","Mpumalanga"," Mpumalanga.","N/A","Len Badenhorst (Chairman) *Group Meeting Time: Wed 19h00","0126642667/ 0832275484 / 0731497023.","Contact to: jaap.gerenger@gmail.com  Website: http://www.cad.org.za/index.php/eastern-tvl"
